x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.8948 75.0039 -34.9271 58 0 1 1 1.34714e+06 27.2263 58869.1 1.14455 1.01132e+07 1.34714e+06 ZonesAtSurface
124.809 75.0062 -9.90776 46 0 1 1 1.11254e+06 23.8851 119204 1.31403 4.22056e+06 1.11254e+06 ZonesAtSurface
174.75 75.001 -34.9359 45 0 1 2 715661 27.7186 68914.9 1.11951 8.29909e+06 715661 ZonesAtSurface
224.681 75.0042 -9.92042 41 0 1 2 1.43365e+06 31.6439 86233.3 1.29713 6.17986e+06 1.43365e+06 ZonesAtSurface
274.634 74.9966 -34.9562 25 0 1 3 655872 27.6517 140641 1.06035 1.02885e+07 655872 ZonesAtSurface
324.571 74.9977 -9.95557 0 0 1 3 513129 37.5413 68755.4 1.02653 8.2809e+06 513129 ZonesAtSurface
374.56 74.9929 -34.9774 0 0 1 4 1.15294e+06 31.8554 71646.5 1.77635 8.21767e+06 1.15294e+06 ZonesAtSurface
424.439 74.9977 90.0308 3 0 1 2 1.17755e+06 44.4402 52715.6 2.04822 5.68722e+06 1.17755e+06 ZonesAtSurface
474.423 74.9943 115.021 0 0 1 2 1.45585e+06 40.7178 83840.3 2.64424 4.91932e+06 1.45585e+06 ZonesAtSurface
524.393 74.9913 190.01 0 0 1 1 1.01778e+06 30.8712 126246 2.06638 3.21354e+06 1.01778e+06 ZonesAtSurface
574.387 74.99 264.998 0 0 0 0 875569 32.2598 59828.7 2.12635 2.03706e+06 875569 ZonesAtSurface
624.389 74.9893 289.982 0 0 0 0 1.17073e+06 18.9715 125383 1.98773 1.89173e+06 1.17073e+06 ZonesAtSurface
674.393 74.9885 314.964 4 0 0 0 715908 16.7881 82325.3 1.29018 1.80347e+06 715908 ZonesAtSurface
724.4 74.9879 339.944 0 0 0 0 1.11577e+06 21.0236 50007.9 2.13093 1.7844e+06 1.11577e+06 ZonesAtSurface
