x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.8265 74.9966 15.1067 0 0 0 0 1.15455e+06 29.7953 81561.3 1.07538 8.41066e+06 1.15455e+06 ZonesAtSurface
124.71 74.9953 40.112 0 0 0 0 1.28563e+06 15.6929 141574 1.06894 4.58778e+06 1.28563e+06 ZonesAtSurface
174.616 74.9969 65.1062 0 0 0 0 727286 38.2334 97159.2 1.17568 5.56612e+06 727286 ZonesAtSurface
224.546 74.9964 90.1052 0 0 0 0 1.08137e+06 31.878 92299.7 1.04005 5.53654e+06 1.08137e+06 ZonesAtSurface
274.494 74.9951 115.095 0 0 0 0 1.1044e+06 32.6175 116503 1.03974 5.39099e+06 1.1044e+06 ZonesAtSurface
324.456 74.9936 140.078 0 0 0 0 915318 26.6026 76559.8 1.01279 4.25689e+06 915318 ZonesAtSurface
374.43 74.9927 165.061 0 0 0 0 956031 30.3438 71254 1.07238 4.26996e+06 956031 ZonesAtSurface
424.411 74.9921 190.046 0 0 0 0 806893 42.4585 78058.3 1.60967 3.89443e+06 806893 ZonesAtSurface
474.398 74.9913 215.03 0 0 0 0 1.48268e+06 24.6365 115230 1.59674 3.3096e+06 1.48268e+06 ZonesAtSurface
524.391 74.9906 240.013 0 0 0 0 1.33003e+06 18.8028 74958.6 1.52783 2.77043e+06 1.33003e+06 ZonesAtSurface
574.387 74.9902 264.995 0 0 0 0 1.35606e+06 15.8976 51031.6 1.74339 2.30216e+06 1.35606e+06 ZonesAtSurface
624.387 74.99 289.978 0 0 0 0 757429 23.6399 133327 1.63984 1.88137e+06 757429 ZonesAtSurface
674.39 74.9897 314.961 0 0 0 0 1.48488e+06 33.7555 94957.1 4.19868 1.6515e+06 1.48488e+06 ZonesAtSurface
724.397 74.9899 339.944 0 0 0 0 1.30216e+06 17.6023 141917 2.64452 1.47146e+06 1.30216e+06 ZonesAtSurface
774.407 74.9905 364.926 0 0 0 0 1.47011e+06 27.8244 142117 3.00365 1.72707e+06 1.47011e+06 ZonesAtSurface
824.423 74.9897 389.905 0 0 0 0 100000 5 10000 1.20465 263689 100000 ZonesAtSurface
874.443 74.9879 414.882 0 0 0 0 717854 35.7495 84740.5 1.6611 2.01561e+06 717854 ZonesAtSurface
924.465 74.9868 439.858 0 0 0 0 1.37052e+06 33.667 107049 2.91374 1.83395e+06 1.37052e+06 ZonesAtSurface
974.488 74.9861 464.835 0 0 0 0 669284 33.7653 107565 1.45832 1.8832e+06 669284 ZonesAtSurface
1024.51 74.9856 489.813 0 0 0 0 839652 26.6184 127816 1.46906 1.95543e+06 839652 ZonesAtSurface
1074.54 74.9856 514.792 0 0 0 0 1.3729e+06 19.2245 124543 2.23933 1.80767e+06 1.3729e+06 ZonesAtSurface
1124.57 74.9857 539.773 0 0 0 0 1.36387e+06 28.0409 69989.1 2.74243 1.7761e+06 1.36387e+06 ZonesAtSurface
1174.61 74.9867 564.752 0 0 0 0 537165 20.4328 113317 1.24478 1.2712e+06 537165 ZonesAtSurface
1224.65 74.9878 589.728 0 0 0 0 1.25977e+06 15.3708 122887 1.73047 1.89063e+06 1.25977e+06 ZonesAtSurface
1274.69 74.9855 614.702 0 0 0 0 100000 5 10000 1.37701 175100 100000 ZonesAtSurface
1324.73 74.9828 639.676 0 0 0 0 608867 36.2462 76376.5 1.19665 2.10297e+06 608867 ZonesAtSurface
1374.78 74.9829 664.651 0 0 0 0 1.23421e+06 17.3128 84925.2 1.84861 1.8232e+06 1.23421e+06 ZonesAtSurface
1424.81 74.9834 689.627 0 0 0 0 638526 36.6979 104855 1.58979 1.69496e+06 638526 ZonesAtSurface
