x y z ERate TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.8756 74.9994 -34.946 0 0 1 1 1.20374e+06 40.236 107969 0 1.7028e+07 1.20374e+06 ZonesAtSurface
124.776 74.9982 -9.93286 0 0 1 1 1.26264e+06 41.8813 113326 0 1.24595e+07 1.26264e+06 ZonesAtSurface
174.738 74.994 -34.9537 0 0 1 2 659266 41.9297 64096.4 0 1.2117e+07 659266 ZonesAtSurface
224.66 74.9947 -9.94281 0 0 1 2 541430 27.1366 53782.9 0 8.66178e+06 541430 ZonesAtSurface
274.588 74.9947 15.0577 0 0 1 2 1.33277e+06 24.8321 148498 0 8.56887e+06 1.33277e+06 ZonesAtSurface
324.529 74.9944 40.052 0 0 1 2 772794 18.1963 139105 0 5.31222e+06 772794 ZonesAtSurface
374.483 74.994 65.044 0 0 1 2 1.21732e+06 44.0428 116021 0 7.81259e+06 1.21732e+06 ZonesAtSurface
424.42 74.9933 140.04 0 0 1 1 1.41592e+06 36.7607 122610 0 5.24201e+06 1.41592e+06 ZonesAtSurface
474.388 74.9912 215.031 0 0 0 0 1.48268e+06 24.6365 115230 0 3.77605e+06 1.48268e+06 ZonesAtSurface
524.378 74.9904 240.014 0 0 0 0 1.33003e+06 18.8028 74958.6 0 3.19756e+06 1.33003e+06 ZonesAtSurface
574.371 74.99 264.997 0 0 0 0 1.35606e+06 15.8976 51031.6 0 2.55046e+06 1.35606e+06 ZonesAtSurface
624.368 74.9898 289.98 0 0 0 0 757429 23.6399 133327 0 2.05563e+06 757429 ZonesAtSurface
674.369 74.9896 314.963 0 0 0 0 1.48488e+06 33.7555 94957.1 0 1.71863e+06 1.48488e+06 ZonesAtSurface
724.375 74.99 339.945 0 3 0 0 1.30216e+06 17.6023 141917 0 1.44107e+06 1.30216e+06 ZonesAtSurface
774.385 74.9907 364.924 0 2 0 0 1.47011e+06 27.8244 142117 0 1.61102e+06 1.47011e+06 ZonesAtSurface
824.38 74.9903 339.901 0 0 1 1 1.22958e+06 41.1636 80338.5 0 2.18443e+06 1.22958e+06 ZonesAtSurface
874.418 74.987 414.875 0 0 0 0 717854 35.7495 84740.5 0 2.20376e+06 717854 ZonesAtSurface
924.441 74.9861 439.846 0 0 0 0 1.37052e+06 33.667 107049 0 1.72614e+06 1.37052e+06 ZonesAtSurface
974.465 74.9852 464.818 0 7 0 0 669284 33.7653 107565 0 1.85506e+06 669284 ZonesAtSurface
1024.49 74.9845 489.79 0 0 0 0 839652 26.6184 127816 0 1.89366e+06 839652 ZonesAtSurface
1074.52 74.9845 514.762 0 0 0 0 1.3729e+06 19.2245 124543 0 1.73876e+06 1.3729e+06 ZonesAtSurface
