x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.904 75.0079 -34.9245 72 0 1 1 1.20374e+06 40.236 107969 1.2405 1.21087e+07 1.20374e+06 ZonesAtSurface
124.827 75.0101 -9.90199 63 0 1 1 1.26264e+06 41.8813 113326 1.59826 6.5381e+06 1.26264e+06 ZonesAtSurface
174.774 75.0047 -34.9166 73 0 1 2 659266 41.9297 64096.4 1.12875 9.32217e+06 659266 ZonesAtSurface
224.708 75.0075 -9.89187 89 0 1 2 541430 27.1366 53782.9 1.17352 4.23055e+06 541430 ZonesAtSurface
274.653 75.0028 -34.9258 74 0 1 3 592429 16.2866 62508.6 1.10219 4.67877e+06 592429 ZonesAtSurface
324.594 75.0042 -9.92303 66 0 1 3 776968 40.4401 87069 1.5931 5.23267e+06 776968 ZonesAtSurface
374.56 75 -34.9538 38 0 1 4 818577 42.0153 81675.2 1.44248 1.12081e+07 818577 ZonesAtSurface
424.505 75.0044 -9.96443 28 0 1 4 1.29988e+06 39.5116 111479 1.36222 9.83043e+06 1.29988e+06 ZonesAtSurface
474.457 75.0058 15.0154 9 0 1 4 1.3791e+06 21.3788 78856.2 1.10275 8.67769e+06 1.3791e+06 ZonesAtSurface
524.373 75.0029 139.995 2 0 1 2 1.19343e+06 38.7357 96410.6 1.88028 4.21737e+06 1.19343e+06 ZonesAtSurface
574.367 75.0005 214.988 0 0 2 1 1.04733e+06 15.5097 95053.9 2.09065 1.60539e+06 1.04733e+06 ZonesAtSurface
624.374 75.0022 289.977 3 2 0 0 757429 23.6399 133327 2.58254 954313 757429 ZonesAtSurface
674.381 75.0036 314.963 0 9 0 0 1.48488e+06 33.7555 94957.1 6.05447 972046 1.48488e+06 ZonesAtSurface
724.375 75.0027 289.947 8 0 2 1 540793 19.2863 62085.9 1.1362 1.94253e+06 540793 ZonesAtSurface
774.382 75.0042 314.927 0 9 2 1 890611 40.8551 110103 2.02151 1.91028e+06 890611 ZonesAtSurface
824.375 75.0014 289.907 1 0 2 2 796825 31.597 140522 1.42265 3.13192e+06 796825 ZonesAtSurface
874.38 74.9977 314.881 5 0 1 2 1.16516e+06 20.6057 115398 1.27702 3.4142e+06 1.16516e+06 ZonesAtSurface
924.411 74.9895 389.847 3 0 2 1 1.21149e+06 36.1336 147781 1.95428 3.1578e+06 1.21149e+06 ZonesAtSurface
974.432 74.9882 414.817 4 0 2 1 728121 32.959 142020 1.6858 2.5316e+06 728121 ZonesAtSurface
1024.45 74.9881 439.785 18 0 1 1 756212 16.1082 96997.9 1.3083 2.03578e+06 756212 ZonesAtSurface
1074.51 74.9891 514.749 0 5 0 0 1.3729e+06 19.2245 124543 2.05359 2.01909e+06 1.3729e+06 ZonesAtSurface
1124.51 74.989 489.715 0 0 2 1 870590 20.7794 101158 1.47773 2.15236e+06 870590 ZonesAtSurface
1174.54 74.9899 514.677 0 0 1 1 1.36782e+06 36.6017 66254.4 3.6837 1.98068e+06 1.36782e+06 ZonesAtSurface
1224.62 74.9883 589.633 0 2 0 0 1.25977e+06 15.3708 122887 1.72183 2.0764e+06 1.25977e+06 ZonesAtSurface
1274.62 74.9897 564.59 0 0 1 1 1.27148e+06 15.909 70094 1.43092 2.83835e+06 1.27148e+06 ZonesAtSurface
1324.71 74.9812 639.539 0 0 0 0 608867 36.2462 76376.5 1.95663 2.2749e+06 608867 ZonesAtSurface
1374.75 74.9811 664.496 0 0 0 0 1.23421e+06 17.3128 84925.2 2.07415 1.83327e+06 1.23421e+06 ZonesAtSurface
1424.8 74.9812 689.458 0 0 0 0 638526 36.6979 104855 2.34344 1.72975e+06 638526 ZonesAtSurface
1474.84 74.9829 714.425 0 0 0 0 1.11487e+06 17.5775 73117.9 1.65354 1.92628e+06 1.11487e+06 ZonesAtSurface
1524.84 74.9915 689.396 0 0 2 1 715213 25.3026 87302.3 1.21843 2.44103e+06 715213 ZonesAtSurface
1574.79 74.9982 514.447 5 0 1 5 1.14958e+06 23.9136 84883.5 1.05928 5.28741e+06 1.14958e+06 ZonesAtSurface
1624.82 74.995 439.494 3 0 1 7 100000 5 10000 2.3172 586235 100000 ZonesAtSurface
1674.87 74.9968 464.472 0 0 1 7 875208 19.6465 92460.9 1.31293 3.64039e+06 875208 ZonesAtSurface
1724.92 74.999 489.457 9 0 1 7 998221 38.0884 102984 1.04102 6.57964e+06 998221 ZonesAtSurface
1774.97 75.0004 514.441 7 0 1 7 1.46252e+06 27.1787 55854.1 1.0941 6.1517e+06 1.46252e+06 ZonesAtSurface
1825.01 75.006 589.376 6 0 1 6 1.42216e+06 35.2154 135793 1.05379 6.98342e+06 1.42216e+06 ZonesAtSurface
1875.06 75.0084 614.342 0 0 1 6 1.16745e+06 27.9728 125153 1.02977 5.55176e+06 1.16745e+06 ZonesAtSurface
1925.02 75.0207 839.159 6 10 2 2 566704 41.0233 125075 1.22254 1.80934e+06 566704 ZonesAtSurface
1975.01 75.0184 864.182 10 3 2 2 517608 29.0594 97600.7 1.12239 1.46908e+06 517608 ZonesAtSurface
2025.28 75.0116 576.939 2 0 1 7 749773 37.9149 88910.9 1.0981 5.46858e+06 749773 ZonesAtSurface
2075.4 75.0017 327.245 2 0 1 10 1.0296e+06 30.4463 84424.2 1.03857 8.67155e+06 1.0296e+06 ZonesAtSurface
2125.42 74.9978 227.361 2 0 1 10 1.47117e+06 33.6526 63583.2 1.17353 1.05744e+07 1.47117e+06 ZonesAtSurface
2175.44 74.9992 177.427 2 0 1 9 550629 27.7264 90738.9 1.08557 7.45164e+06 550629 ZonesAtSurface
2225.43 75.0051 127.473 4 0 1 8 100000 5 10000 1.04074 1.03135e+06 100000 ZonesAtSurface
2275.36 75.0004 27.5128 4 0 1 8 935327 26.7328 136974 1.11577 8.78159e+06 935327 ZonesAtSurface
2325.31 75.0039 -22.4704 5 0 1 7 952840 24.4384 123864 1.13488 8.11834e+06 952840 ZonesAtSurface
2375.29 75.0154 -22.4524 47 0 1 5 1.33238e+06 26.2835 71686 1.19692 7.07068e+06 1.33238e+06 ZonesAtSurface
2425.24 75.0199 -22.4427 69 0 1 3 985200 31.0495 77576 1.38827 5.64645e+06 985200 ZonesAtSurface
2475.21 75.0313 -22.3725 69 0 1 1 100000 5 10000 2.27232 168789 100000 ZonesAtSurface
2524.99 75.0444 -2.27026 112 11 0 0 100000 5 10000 0.928746 241640 100000 ZonesAtSurface
2574.9 75.0253 -12.3539 97 0 1 1 518726 40.6068 57454.9 1.3759 6.38985e+06 518726 ZonesAtSurface
2624.86 75.0153 -22.3483 54 0 1 2 783910 34.1917 115279 1.38611 6.78964e+06 783910 ZonesAtSurface
