x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
77.4481 74.5386 -32.5224 181 0 1 1 100000 5 30023.5 0.611276 2.16953e+06 100000 ZonesAtSurface
126.915 75.0035 -7.96523 179 0 1 1 100000 5 20091.1 0.67365 1.66354e+06 100000 ZonesAtSurface
176.552 74.9783 -33.3874 165 0 1 2 100000 5 25533.7 0.702275 1.85987e+06 100000 ZonesAtSurface
226.311 75.105 -8.73536 165 2 1 2 100000 5 100000 0.755821 945802 100000 ZonesAtSurface
276.274 75.0328 -33.9772 151 0 1 3 100000 5 87363.6 0.721262 1.47015e+06 100000 ZonesAtSurface
326.224 75.1123 -9.12827 151 1 1 3 100000 5 10000 0.688511 851709 100000 ZonesAtSurface
376.312 75.0216 -34.0746 137 0 1 4 100000 5 67416.5 0.765511 1.13615e+06 100000 ZonesAtSurface
426.265 75.0845 -9.13578 138 0 1 4 100000 5 100000 0.763079 837894 100000 ZonesAtSurface
476.314 74.991 -34.0829 125 0 1 5 100000 5 124911 0.806614 949521 100000 ZonesAtSurface
526.203 75.066 -9.1488 126 0 1 5 100000 5 81211 0.847551 824030 100000 ZonesAtSurface
576.276 74.9867 -34.1568 110 0 1 6 100000 5 21914.2 0.869818 1.14172e+06 100000 ZonesAtSurface
626.192 75.0403 -9.22643 110 1 1 6 100000 5 100000 0.942419 765229 100000 ZonesAtSurface
676.246 74.9597 -34.2436 97 0 1 7 100000 5 140402 0.983013 949151 100000 ZonesAtSurface
726.108 75.0265 -9.31257 97 1 1 7 100000 5 100000 0.81138 920985 100000 ZonesAtSurface
776.225 74.9612 -34.4102 82 0 1 8 100000 5 52058.3 0.9495 662759 100000 ZonesAtSurface
826.14 74.9934 -9.48774 82 1 1 8 100000 5 100000 0.934414 622992 100000 ZonesAtSurface
876.254 74.9316 -34.5987 67 0 1 9 100000 5 135574 1.07772 611002 100000 ZonesAtSurface
926.209 74.9661 -9.65461 67 1 1 9 100000 5 100000 0.963382 500612 100000 ZonesAtSurface
976.32 74.9085 -34.7193 54 0 1 10 100000 5 14099.4 1.13942 546418 100000 ZonesAtSurface
1026.29 74.9264 -9.74301 55 0 1 10 100000 5 113392 1.03616 623717 100000 ZonesAtSurface
