x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.8935 75.0057 -34.9337 58 0 1 1 1.20374e+06 40.236 107969 1.17557 1.33561e+07 1.20374e+06 ZonesAtSurface
124.812 75.0097 -9.91434 46 0 1 1 1.26264e+06 41.8813 113326 1.26613 7.53504e+06 1.26264e+06 ZonesAtSurface
174.754 75.0028 -34.9345 30 0 1 2 659266 41.9297 64096.4 1.20275 9.54808e+06 659266 ZonesAtSurface
224.687 75.0075 -9.91048 44 0 1 2 541430 27.1366 53782.9 1.22948 3.97091e+06 541430 ZonesAtSurface
274.634 74.9966 -34.9494 30 0 1 3 592429 16.2866 62508.6 1.05301 5.49e+06 592429 ZonesAtSurface
324.564 74.9961 -9.95381 24 0 1 3 776968 40.4401 87069 1.11334 9.19307e+06 776968 ZonesAtSurface
374.512 74.9957 15.0356 13 0 1 3 1.37312e+06 15.7303 55792.6 1.0654 6.45158e+06 1.37312e+06 ZonesAtSurface
424.41 74.9983 140.028 0 0 1 1 1.41592e+06 36.7607 122610 2.09402 4.06455e+06 1.41592e+06 ZonesAtSurface
474.392 74.9948 215.025 0 2 0 0 1.48268e+06 24.6365 115230 1.98291 2.47242e+06 1.48268e+06 ZonesAtSurface
524.389 74.9917 240.014 0 0 0 0 1.33003e+06 18.8028 74958.6 1.7831 2.3099e+06 1.33003e+06 ZonesAtSurface
574.387 74.9904 264.998 0 0 0 0 1.35606e+06 15.8976 51031.6 1.92075 2.05247e+06 1.35606e+06 ZonesAtSurface
624.388 74.9895 289.981 0 0 0 0 757429 23.6399 133327 1.58816 1.89744e+06 757429 ZonesAtSurface
674.392 74.9888 314.963 0 0 0 0 1.48488e+06 33.7555 94957.1 3.72036 1.8093e+06 1.48488e+06 ZonesAtSurface
724.399 74.9882 339.944 0 0 0 0 1.30216e+06 17.6023 141917 2.25219 1.76787e+06 1.30216e+06 ZonesAtSurface
774.409 74.9877 364.922 0 0 0 0 1.47011e+06 27.8244 142117 3.26093 1.74527e+06 1.47011e+06 ZonesAtSurface
824.422 74.9874 389.899 0 0 0 0 1.37833e+06 29.952 84727.8 2.97801 1.78855e+06 1.37833e+06 ZonesAtSurface
874.439 74.9869 414.873 0 0 0 0 717854 35.7495 84740.5 2.20511 1.73843e+06 717854 ZonesAtSurface
924.459 74.9862 439.845 0 4 0 0 1.37052e+06 33.667 107049 3.57286 1.7055e+06 1.37052e+06 ZonesAtSurface
974.482 74.9857 464.815 0 8 0 0 669284 33.7653 107565 2.00162 1.74351e+06 669284 ZonesAtSurface
1024.51 74.985 489.784 0 6 0 0 839652 26.6184 127816 1.82797 1.83251e+06 839652 ZonesAtSurface
1074.54 74.9844 514.752 0 0 0 0 1.3729e+06 19.2245 124543 2.44266 1.76888e+06 1.3729e+06 ZonesAtSurface
1124.57 74.9837 539.717 0 0 0 0 1.36387e+06 28.0409 69989.1 2.92248 1.84907e+06 1.36387e+06 ZonesAtSurface
1174.61 74.9829 564.679 0 0 0 0 537165 20.4328 113317 1.62167 1.35814e+06 537165 ZonesAtSurface
1224.65 74.9825 589.639 0 0 0 0 1.25977e+06 15.3708 122887 2.22222 1.71912e+06 1.25977e+06 ZonesAtSurface
1274.69 74.9823 614.6 0 0 0 0 565521 21.7123 69472.2 1.60287 1.52592e+06 565521 ZonesAtSurface
1324.73 74.9819 639.561 0 0 0 0 608867 36.2462 76376.5 2.74861 1.62611e+06 608867 ZonesAtSurface
1374.77 74.982 664.521 0 2 0 0 1.23421e+06 17.3128 84925.2 2.36974 1.62739e+06 1.23421e+06 ZonesAtSurface
1424.81 74.9825 689.483 0 0 0 0 638526 36.6979 104855 2.74874 1.59572e+06 638526 ZonesAtSurface
1474.85 74.983 714.446 0 0 0 0 1.11487e+06 17.5775 73117.9 2.26836 1.56259e+06 1.11487e+06 ZonesAtSurface
1524.88 74.9838 739.41 0 0 0 0 1.27614e+06 42.396 104937 4.81678 1.60283e+06 1.27614e+06 ZonesAtSurface
1574.92 74.985 764.375 0 0 0 0 530351 40.0109 87643.5 2.3298 1.63728e+06 530351 ZonesAtSurface
1624.92 74.9908 739.344 0 0 1 1 1.06038e+06 36.6054 80896.7 1.94744 2.84163e+06 1.06038e+06 ZonesAtSurface
1674.98 74.9919 814.307 0 5 0 0 800582 43.9712 99427.5 2.73074 2.12884e+06 800582 ZonesAtSurface
1724.96 75.0003 739.291 4 0 1 2 686016 31.5273 58019.5 1.10326 3.11612e+06 686016 ZonesAtSurface
1775 75.0034 814.251 6 6 1 1 1.30248e+06 15.8751 83032.7 1.39043 2.52785e+06 1.30248e+06 ZonesAtSurface
1825 75.0045 839.233 0 7 2 1 1.14171e+06 35.5101 72470.8 1.63793 2.96916e+06 1.14171e+06 ZonesAtSurface
1874.97 75.0037 914.223 0 8 0 0 1.10786e+06 25.611 129700 1.85786 2.14665e+06 1.10786e+06 ZonesAtSurface
1924.95 75.0012 939.24 0 0 0 0 501047 38.6276 85079.5 2.35363 1.31003e+06 501047 ZonesAtSurface
1974.93 74.9987 964.266 0 0 0 0 1.03098e+06 34.8931 90101.5 4.03275 1.3707e+06 1.03098e+06 ZonesAtSurface
2025.1 75.0014 776.86 2 0 1 3 1.19086e+06 32.1184 121096 1.17543 5.41971e+06 1.19086e+06 ZonesAtSurface
2075.27 75.0036 627.008 8 0 1 4 1.48665e+06 39.6707 86519 1.04081 7.11367e+06 1.48665e+06 ZonesAtSurface
2125.42 75.0011 477.178 1 0 1 5 888042 24.3639 92990 1.07865 4.55195e+06 888042 ZonesAtSurface
2175.48 74.9973 327.345 6 0 1 6 643892 16.8279 130575 1.05067 3.66106e+06 643892 ZonesAtSurface
2225.47 74.9968 227.44 6 0 1 6 722122 38.4773 138591 1.08209 7.75977e+06 722122 ZonesAtSurface
2275.46 74.9971 177.484 0 0 1 5 766470 44.9806 83181.3 1.47084 8.44574e+06 766470 ZonesAtSurface
2325.48 75.0055 177.501 10 1 1 3 1.37864e+06 42.3705 75805.1 1.27604 5.47003e+06 1.37864e+06 ZonesAtSurface
2375.31 74.9986 27.5349 4 0 1 4 1.10996e+06 32.1512 73813.9 1.42508 8.35476e+06 1.10996e+06 ZonesAtSurface
2425.24 74.9976 -22.47 19 0 1 3 985200 31.0495 77576 1.86941 1.0414e+07 985200 ZonesAtSurface
2475.17 75.0111 -22.4548 28 0 1 1 1.23914e+06 33.5366 122826 1.96347 9.23136e+06 1.23914e+06 ZonesAtSurface
2525 75.0206 -2.39872 29 0 0 0 1.3762e+06 39.7668 137223 2.18564 5.31549e+06 1.3762e+06 ZonesAtSurface
2574.93 75.0039 -12.4111 35 0 1 1 518726 40.6068 57454.9 1.09663 1.30418e+07 518726 ZonesAtSurface
2624.8 75.0005 27.6198 2 0 1 1 1.43663e+06 38.3711 59008.6 1.12894 1.05658e+07 1.43663e+06 ZonesAtSurface
2674.61 74.999 117.634 6 0 0 0 796780 34.0614 124517 1.40622 3.39068e+06 796780 ZonesAtSurface
2724.56 74.9954 157.622 3 0 0 0 589343 38.7699 89014.5 1.16855 3.38649e+06 589343 ZonesAtSurface
2774.53 74.9933 197.605 0 0 0 0 1.22932e+06 39.2225 84256.5 1.36569 4.25021e+06 1.22932e+06 ZonesAtSurface
2824.51 74.9923 237.583 0 0 0 0 658569 25.9328 58690.2 1.28224 2.50217e+06 658569 ZonesAtSurface
