x y z ShearFailure TensileFailure FailureType AmountRemoved cohesion friction tension strength_stress diff_stress model group
74.9056 75.007 -34.9152 80 0 1 1 1.20374e+06 40.236 107969 1.25323 1.21145e+07 1.20374e+06 ZonesAtSurface
124.83 75.0081 -9.89365 66 0 1 1 1.26264e+06 41.8813 113326 1.71123 6.25746e+06 1.26264e+06 ZonesAtSurface
174.776 75.0042 -34.9082 86 0 1 2 659266 41.9297 64096.4 1.14339 9.19932e+06 659266 ZonesAtSurface
224.708 75.0073 -9.88228 117 0 1 2 541430 27.1366 53782.9 1.20319 4.16352e+06 541430 ZonesAtSurface
274.651 75.0023 -34.9186 100 0 1 3 592429 16.2866 62508.6 1.21384 4.40291e+06 592429 ZonesAtSurface
324.59 75.0036 -9.91719 78 0 1 3 776968 40.4401 87069 1.71981 5.6545e+06 776968 ZonesAtSurface
374.559 74.9993 -34.9479 24 0 1 4 818577 42.0153 81675.2 1.62687 1.09423e+07 818577 ZonesAtSurface
424.508 75.0029 -9.95419 31 0 1 4 1.29988e+06 39.5116 111479 1.50056 8.49284e+06 1.29988e+06 ZonesAtSurface
474.49 74.9959 -34.9868 3 0 1 5 615981 36.2211 97422 2.05196 9.10651e+06 615981 ZonesAtSurface
524.364 74.9994 139.994 9 0 1 2 1.19343e+06 38.7357 96410.6 1.63351 5.19568e+06 1.19343e+06 ZonesAtSurface
574.373 74.9922 264.981 0 5 0 0 1.35606e+06 15.8976 51031.6 1.74034 2.25272e+06 1.35606e+06 ZonesAtSurface
624.381 74.9904 289.969 0 0 0 0 757429 23.6399 133327 2.00487 1.48972e+06 757429 ZonesAtSurface
674.39 74.9887 314.955 0 0 0 0 1.48488e+06 33.7555 94957.1 3.91343 1.64406e+06 1.48488e+06 ZonesAtSurface
724.402 74.9878 339.936 0 0 0 0 1.30216e+06 17.6023 141917 2.25743 1.71576e+06 1.30216e+06 ZonesAtSurface
774.415 74.9872 364.914 0 0 0 0 1.47011e+06 27.8244 142117 3.0177 1.81198e+06 1.47011e+06 ZonesAtSurface
824.429 74.9868 389.888 0 0 0 0 1.37833e+06 29.952 84727.8 2.78365 1.90296e+06 1.37833e+06 ZonesAtSurface
874.447 74.9861 414.86 0 0 0 0 717854 35.7495 84740.5 2.144 1.86394e+06 717854 ZonesAtSurface
924.467 74.9852 439.83 0 4 0 0 1.37052e+06 33.667 107049 3.42371 1.84546e+06 1.37052e+06 ZonesAtSurface
974.488 74.9845 464.799 0 8 0 0 669284 33.7653 107565 1.83135 1.94361e+06 669284 ZonesAtSurface
1024.51 74.9838 489.768 0 6 0 0 839652 26.6184 127816 1.83361 1.9475e+06 839652 ZonesAtSurface
1074.54 74.9834 514.736 0 0 0 0 1.3729e+06 19.2245 124543 2.28631 1.92692e+06 1.3729e+06 ZonesAtSurface
1124.57 74.9829 539.702 0 0 0 0 1.36387e+06 28.0409 69989.1 3.01297 1.91038e+06 1.36387e+06 ZonesAtSurface
1174.61 74.9823 564.667 0 0 0 0 537165 20.4328 113317 1.46735 1.45341e+06 537165 ZonesAtSurface
1224.65 74.9821 589.63 0 0 0 0 1.25977e+06 15.3708 122887 2.1147 1.77712e+06 1.25977e+06 ZonesAtSurface
1274.69 74.9821 614.593 0 0 0 0 565521 21.7123 69472.2 1.61851 1.52157e+06 565521 ZonesAtSurface
1324.73 74.9819 639.556 0 0 0 0 608867 36.2462 76376.5 2.73931 1.60073e+06 608867 ZonesAtSurface
1374.77 74.9821 664.519 0 2 0 0 1.23421e+06 17.3128 84925.2 2.5039 1.5543e+06 1.23421e+06 ZonesAtSurface
1424.81 74.9825 689.483 0 0 0 0 638526 36.6979 104855 2.50042 1.60219e+06 638526 ZonesAtSurface
1474.85 74.9829 714.448 0 0 0 0 1.11487e+06 17.5775 73117.9 2.1538 1.59421e+06 1.11487e+06 ZonesAtSurface
1524.89 74.9848 739.414 0 0 0 0 1.27614e+06 42.396 104937 3.75022 1.99281e+06 1.27614e+06 ZonesAtSurface
1574.86 74.996 664.393 0 0 1 2 1.28789e+06 26.0742 73745.5 1.12554 3.87461e+06 1.28789e+06 ZonesAtSurface
1624.9 75.0039 689.357 0 2 2 2 1.37036e+06 41.5699 103773 1.42339 4.08701e+06 1.37036e+06 ZonesAtSurface
1674.89 75.0081 564.415 9 0 1 5 1.14586e+06 20.715 91332.6 1.06024 4.70464e+06 1.14586e+06 ZonesAtSurface
1724.93 75.0076 539.432 9 0 1 6 1.30841e+06 37.0911 61627.9 1.1165 6.95548e+06 1.30841e+06 ZonesAtSurface
1774.97 75.0044 514.443 6 0 1 7 1.46252e+06 27.1787 55854.1 1.05892 6.44274e+06 1.46252e+06 ZonesAtSurface
1825.03 75.0053 539.42 4 0 1 7 845783 20.3629 127379 1.01884 4.69874e+06 845783 ZonesAtSurface
1875.07 75.0128 614.346 6 0 1 6 1.16745e+06 27.9728 125153 1.07265 4.40025e+06 1.16745e+06 ZonesAtSurface
1925.07 75.0222 739.251 2 0 2 4 1.39771e+06 16.7745 70368.7 1.03892 3.66024e+06 1.39771e+06 ZonesAtSurface
1975.08 75.0213 764.262 3 6 2 4 1.41892e+06 34.4256 60594.2 1.18415 4.49116e+06 1.41892e+06 ZonesAtSurface
2025.32 75.0127 477.045 7 0 1 9 1.31579e+06 20.8464 146353 1.06314 4.99637e+06 1.31579e+06 ZonesAtSurface
2075.38 75.0048 277.284 3 0 1 11 1.35164e+06 23.5692 83281.8 1.02366 7.4143e+06 1.35164e+06 ZonesAtSurface
2125.39 75.0023 177.39 7 0 1 11 1.28135e+06 22.61 106710 1.07819 5.7312e+06 1.28135e+06 ZonesAtSurface
2175.33 74.9908 27.4716 10 0 1 12 739644 20.0674 127367 1.07269 8.81033e+06 739644 ZonesAtSurface
2225.34 75.002 27.5102 5 0 1 10 974261 44.4567 122220 2.38624 9.18367e+06 974261 ZonesAtSurface
2275.31 74.9986 -22.4743 0 0 1 9 1.41636e+06 37.1592 100003 2.83704 7.96858e+06 1.41636e+06 ZonesAtSurface
2325.3 75.0027 -22.4581 15 0 1 7 952840 24.4384 123864 1.32525 7.20088e+06 952840 ZonesAtSurface
2375.26 75.0069 -22.442 48 0 1 5 1.33238e+06 26.2835 71686 1.70119 6.62216e+06 1.33238e+06 ZonesAtSurface
2425.22 75.013 -22.4376 80 0 1 3 985200 31.0495 77576 1.6954 7.10351e+06 985200 ZonesAtSurface
2475.16 75.0224 -22.4269 100 0 1 1 1.23914e+06 33.5366 122826 1.66561 7.48427e+06 1.23914e+06 ZonesAtSurface
2524.98 75.0248 -2.36512 101 50 0 0 1.3762e+06 39.7668 137223 1.98594 4.13178e+06 1.3762e+06 ZonesAtSurface
2574.93 75.0232 -12.3677 104 0 1 1 518726 40.6068 57454.9 1.42902 6.34567e+06 518726 ZonesAtSurface
2624.88 75.014 -22.3721 55 0 1 2 783910 34.1917 115279 1.26628 7.63586e+06 783910 ZonesAtSurface
2674.83 75.0076 -32.3859 34 0 1 3 564880 42.884 87044.1 1.40742 9.97761e+06 564880 ZonesAtSurface
2724.76 74.9977 -42.4134 10 0 1 4 911114 41.942 50321.9 1.96876 1.38233e+07 911114 ZonesAtSurface
2774.67 74.9981 -2.41421 0 0 1 4 1.05699e+06 34.1566 75193.2 1.50728 9.629e+06 1.05699e+06 ZonesAtSurface
2824.53 75.0014 137.573 9 0 1 2 626469 30.3732 81427.9 1.14698 4.10097e+06 626469 ZonesAtSurface
2874.51 74.9978 227.556 2 0 1 1 829969 31.0045 95633.7 1.63126 2.25323e+06 829969 ZonesAtSurface
2924.52 74.9991 267.539 9 0 2 1 1.06597e+06 27.5571 148621 1.81709 2.46039e+06 1.06597e+06 ZonesAtSurface
2974.52 75.0017 257.516 8 0 2 2 944979 23.332 60522.3 1.11825 3.51401e+06 944979 ZonesAtSurface
3024.53 74.9982 247.489 3 0 1 3 1.14109e+06 20.9022 117668 1.28588 3.97051e+06 1.14109e+06 ZonesAtSurface
3074.54 75.0037 287.456 3 0 1 3 977929 41.2356 134398 1.36884 4.18106e+06 977929 ZonesAtSurface
3124.55 75.0048 277.428 8 0 1 4 1.27955e+06 30.479 138167 1.36416 4.97965e+06 1.27955e+06 ZonesAtSurface
3174.56 74.9998 267.401 0 0 1 5 933151 44.3668 58759.1 2.6559 5.36052e+06 933151 ZonesAtSurface
3224.57 74.997 257.372 4 0 1 6 1.08346e+06 34.7607 142105 1.64606 5.87365e+06 1.08346e+06 ZonesAtSurface
3274.59 74.9943 247.331 0 0 1 7 726297 42.7518 143466 1.90994 6.96893e+06 726297 ZonesAtSurface
3324.61 75.0032 337.27 4 0 1 6 1.07073e+06 35.2976 68072.3 1.02879 6.56553e+06 1.07073e+06 ZonesAtSurface
3374.64 74.9945 327.235 0 0 1 7 972635 44.6472 83180.9 1.65709 7.68418e+06 972635 ZonesAtSurface
3424.68 74.9939 367.184 3 0 1 7 917854 38.4283 121220 1.00842 7.81912e+06 917854 ZonesAtSurface
3474.73 75.0002 457.113 7 0 1 6 934053 38.1672 59422.1 1.03217 6.34859e+06 934053 ZonesAtSurface
3524.77 75.0016 497.056 2 0 1 6 1.24717e+06 20.9341 87252 1.03317 5.0897e+06 1.24717e+06 ZonesAtSurface
3574.82 74.9956 487.028 3 0 1 7 1.47978e+06 29.9274 124536 1.00584 6.70658e+06 1.47978e+06 ZonesAtSurface
3624.89 75.0066 626.908 5 0 1 5 832573 33.0063 81804.6 1.12801 4.46221e+06 832573 ZonesAtSurface
3674.94 75.0068 666.854 6 0 1 5 568416 36.0685 127724 1.10091 4.48154e+06 568416 ZonesAtSurface
3725 75.0097 856.753 0 10 2 2 1.15115e+06 28.2438 98894.3 1.91841 2.17478e+06 1.15115e+06 ZonesAtSurface
3775.02 75.0095 806.764 0 0 1 3 1.4413e+06 32.7084 108470 1.86537 3.42313e+06 1.4413e+06 ZonesAtSurface
3825.06 75.0039 716.81 5 0 1 4 533108 29.29 58050 1.1047 2.66717e+06 533108 ZonesAtSurface
3875.14 74.9972 576.918 6 0 1 6 907403 17.4819 75902.3 1.03034 3.68899e+06 907403 ZonesAtSurface
3925.18 74.9984 586.94 7 0 1 5 1.17953e+06 36.3686 122456 1.19806 5.54587e+06 1.17953e+06 ZonesAtSurface
3975.18 75.0047 646.942 8 0 1 3 643416 34.0356 100428 1.13449 2.3399e+06 643416 ZonesAtSurface
4025.31 74.9954 457.074 1 0 1 6 1.44249e+06 24.04 126197 1.01194 6.48556e+06 1.44249e+06 ZonesAtSurface
4075.36 74.9982 417.13 0 0 1 6 535240 21.812 110923 1.07732 4.05464e+06 535240 ZonesAtSurface
4125.38 75.0041 427.167 7 0 1 5 816165 40.2733 80146.4 1.20123 4.96201e+06 816165 ZonesAtSurface
4175.43 74.9936 337.223 1 0 1 6 712100 22.7958 110376 1.01532 4.8855e+06 712100 ZonesAtSurface
4225.44 74.9987 397.24 0 0 1 4 1.24299e+06 39.2065 139256 2.10508 5.06561e+06 1.24299e+06 ZonesAtSurface
4275.45 74.9978 407.271 0 0 1 3 1.29782e+06 41.2446 90794.9 1.60386 4.19268e+06 1.29782e+06 ZonesAtSurface
4325.49 74.9932 367.314 7 0 1 3 743254 40.2273 120478 1.37279 4.17159e+06 743254 ZonesAtSurface
4375.52 74.992 277.359 0 0 1 4 1.27576e+06 37.2261 140751 2.39011 4.81749e+06 1.27576e+06 ZonesAtSurface
4425.53 74.9962 287.393 0 0 2 3 1.10476e+06 37.4955 106200 1.75268 4.73199e+06 1.10476e+06 ZonesAtSurface
4475.53 74.993 197.431 0 0 1 4 1.41048e+06 39.2865 95236.6 2.79996 5.05789e+06 1.41048e+06 ZonesAtSurface
4525.53 74.9936 207.463 7 0 1 3 658522 28.1797 137172 1.2516 4.5138e+06 658522 ZonesAtSurface
4575.53 74.995 217.489 3 0 1 2 725446 32.2839 59306.4 1.6105 3.66086e+06 725446 ZonesAtSurface
4625.53 74.9951 177.508 0 0 1 2 1.43855e+06 27.2642 113227 1.42267 4.52212e+06 1.43855e+06 ZonesAtSurface
4675.5 74.9971 137.526 1 0 1 2 1.01972e+06 34.6275 117181 1.19146 6.23916e+06 1.01972e+06 ZonesAtSurface
4725.46 74.9998 97.5366 0 0 1 2 541588 40.184 62705 1.14923 6.40678e+06 541588 ZonesAtSurface
4775.34 74.996 7.5255 1 0 1 3 1.12574e+06 33.3876 107677 1.20204 9.93205e+06 1.12574e+06 ZonesAtSurface
4825.31 75.0027 17.5379 1 0 1 2 1.38363e+06 27.835 130322 1.01661 1.0262e+07 1.38363e+06 ZonesAtSurface
4875.2 75 -22.4766 8 0 1 2 1.13836e+06 39.5308 132615 1.30599 1.42847e+07 1.13836e+06 ZonesAtSurface
4925.13 75.0042 -12.4658 16 0 1 1 955514 43.3437 127449 1.62763 1.60552e+07 955514 ZonesAtSurface
74.915 124.999 -33.8881 105 0 1 1 1.02862e+06 22.1944 145726 1.4799 5.14636e+06 1.02862e+06 ZonesAtSurface
124.831 124.993 -8.85878 92 0 1 1 569110 25.6613 89203 1.62647 1.51439e+06 569110 ZonesAtSurface
174.782 124.994 -33.8761 92 0 1 2 864511 43.0839 57585.2 1.28577 6.12701e+06 864511 ZonesAtSurface
224.717 124.992 -8.83433 102 17 1 2 800942 37.1169 121124 1.52349 2.34939e+06 800942 ZonesAtSurface
274.647 124.991 -33.8877 99 0 1 3 711663 30.7788 128356 1.17956 4.54062e+06 711663 ZonesAtSurface
324.589 124.988 -8.87869 77 42 1 3 1.18825e+06 35.5391 118850 2.36344 3.00789e+06 1.18825e+06 ZonesAtSurface
374.554 124.989 -33.9193 52 0 1 4 693207 29.1474 95031.2 1.2565 5.99263e+06 693207 ZonesAtSurface
424.497 124.99 -8.92825 46 0 1 4 1.20839e+06 16.1182 96703.7 1.12751 3.49969e+06 1.20839e+06 ZonesAtSurface
474.479 124.988 -33.9827 2 0 1 5 547121 41.7129 75842.1 1.87897 1.07653e+07 547121 ZonesAtSurface
