x, y, z, sig1, sig2, sig3, S1-x, S1-y, S1-z, S2-x, S2-y, S2-z, S3-x, S3-y, S3-z, sxx, sxy, sxz, syy, syz, szz
75.9602 74.6065 -34.1545 -1.71628e+08 -1.70426e+08 -1.69744e+08 -0.0893413 -0.489324 0.867514 0.990958 -0.131206 0.028047 0.100099 0.862176 0.496622 -1.70429e+08 6272.62 127071 -1.70207e+08 802250 -1.71163e+08
125.581 74.9338 -9.43144 -1.2086e+08 -1.20459e+08 -1.1946e+08 -0.427874 0.85641 -0.28894 0.698665 0.516198 0.495384 0.573403 0.0100895 -0.819212 -1.20204e+08 153060 -518638 -1.20753e+08 91208.8 -1.19822e+08
175.549 75.0412 -34.5657 -8.83735e+07 -8.817e+07 -8.78096e+07 -0.0606899 0.974962 -0.21393 -0.141049 0.203797 0.968799 0.988141 0.0889709 0.125149 -8.78189e+07 43728.5 41925.9 -8.83606e+07 46467 -8.81737e+07
225.425 75.0403 -9.54897 -3.91974e+07 -3.91272e+07 -3.86366e+07 -0.101781 -0.603034 0.791196 -0.620816 0.659954 0.423141 -0.777321 -0.448119 -0.441544 -3.88315e+07 166602 174048 -3.90542e+07 130545 -3.90755e+07
275.69 74.8102 -34.2589 -2.10268e+08 -2.10085e+08 -2.09794e+08 0.853353 0.251901 0.456437 0.0422879 0.839198 -0.54218 -0.519616 0.481973 0.70548 -2.1014e+08 -112191 -177952 -2.10029e+08 77674.7 -2.09978e+08
325.372 74.9806 -9.54579 -1.27931e+08 -1.27677e+08 -1.27454e+08 0.58881 -0.117817 0.799639 0.806497 0.151168 -0.571587 -0.0535366 0.981462 0.184028 -1.27764e+08 5921.54 -121814 -1.27466e+08 64163.3 -1.27832e+08
375.445 74.9042 -33.9224 -3.01615e+08 -3.00887e+08 -2.99987e+08 -0.0632561 -0.178246 0.981951 0.913983 0.384791 0.128726 -0.400791 0.905629 0.138573 -3.00745e+08 -334966 -4801.04 -3.00172e+08 240338 -3.01571e+08
425.539 74.9339 -9.23934 -1.24773e+08 -1.24332e+08 -1.24107e+08 0.385411 -0.0501839 0.921379 0.914052 0.157503 -0.373768 -0.126363 0.986242 0.106574 -1.24394e+08 -19483.9 -159851 -1.24114e+08 44056.2 -1.24704e+08
475.625 74.5537 -34.5264 -2.45181e+08 -2.4505e+08 -2.4452e+08 0.502482 0.00694194 0.86456 0.728055 0.535932 -0.42745 -0.466313 0.844233 0.264242 -2.44968e+08 -208831 -122277 -2.44673e+08 117289 -2.45111e+08
526.75 74.5645 -9.51069 -1.15094e+08 -1.12553e+08 -1.11266e+08 -0.592795 0.775232 0.218196 -0.116972 -0.350938 0.929064 0.796813 0.525222 0.298715 -1.12629e+08 1.70624e+06 634976 -1.13725e+08 -227852 -1.12559e+08
575.604 75.0213 -33.0488 -9.3451e+07 -9.18149e+07 -9.03475e+07 0.93117 -0.360229 0.0561861 0.364269 0.912843 -0.184462 0.0151597 0.192233 0.981232 -9.32332e+07 553061 -63766.6 -9.1973e+07 309916 -9.04072e+07
625.328 75.2926 -7.48044 -1.52058e+07 -1.20475e+07 -1.78139e+06 0.0841432 0.960677 -0.264612 0.979247 -0.0305849 0.200349 0.184378 -0.275979 -0.943314 -1.17208e+07 -777688 -1.71521e+06 -1.41804e+07 3.47549e+06 -3.13344e+06
675.3 74.984 -34.1168 -2.7539e+08 -2.75031e+08 -2.74914e+08 0.27252 0.95997 -0.0647325 -0.191024 0.119923 0.974232 0.942997 -0.253132 0.216058 -2.74954e+08 -121725 30143.1 -2.75354e+08 15892.7 -2.75027e+08
725.412 75.0082 -8.77475 -3.84371e+08 -3.83881e+08 -3.82544e+08 -0.105098 0.97877 -0.175967 0.933499 0.0360972 -0.356757 -0.342831 -0.20176 -0.917475 -3.8373e+08 142860 411467 -3.84296e+08 331841 -3.82771e+08
775.367 74.9682 -34.0936 -2.3528e+08 -2.34731e+08 -2.34309e+08 0.227479 0.912332 -0.340445 0.973286 -0.224187 0.049549 -0.0311182 -0.342622 -0.938958 -2.34759e+08 -109391 54827.9 -2.35139e+08 306192 -2.34423e+08
825.138 74.9969 -8.85467 -2.32131e+08 -2.31467e+08 -2.30983e+08 0.353711 0.897229 0.264327 0.823291 -0.432768 0.367292 0.443938 0.0877026 -0.891755 -2.31455e+08 -192038 -253759 -2.31998e+08 -195451 -2.31128e+08
875.246 74.8731 16.1964 -1.17038e+08 -1.16453e+08 -1.16109e+08 0.869302 0.352316 0.346681 -0.308925 0.934783 -0.175347 -0.385849 0.0453306 0.921448 -1.16844e+08 -185293 -298450 -1.16525e+08 -57165.5 -1.16232e+08
925.246 74.6149 41.2195 -1.88475e+08 -1.8722e+08 -1.86171e+08 0.859882 0.314955 0.401754 -0.295161 0.948847 -0.112109 -0.416512 -0.0221818 0.908859 -1.87966e+08 -330175 -830668 -1.87344e+08 -179943 -1.86556e+08
974.9 74.6703 66.1188 -2.04296e+08 -2.03551e+08 -2.0307e+08 0.555158 0.781003 0.286066 0.765445 -0.614298 0.191655 0.325413 0.112569 -0.938848 -2.0373e+08 -305511 -265341 -2.03999e+08 -217353 -2.03188e+08
1025.57 74.8025 39.9035 -2.59018e+08 -2.58406e+08 -2.58185e+08 -0.201101 -0.046177 0.978481 0.891175 -0.423296 0.163181 0.406652 0.904814 0.126277 -2.58395e+08 75838.7 131745 -2.58226e+08 52953 -2.58989e+08
1075.61 74.619 64.9432 -1.52271e+08 -1.51946e+08 -1.51809e+08 0.963126 -0.265929 -0.0408561 0.142431 0.375125 0.915967 0.228256 0.888011 -0.399169 -1.5224e+08 110863 257.654 -1.51861e+08 -52160.4 -1.51925e+08
1125.59 74.5996 89.9613 -2.00411e+08 -2.00326e+08 -2.00165e+08 0.350809 -0.0661596 0.934107 0.936368 0.0117963 -0.350823 0.0121913 0.997739 0.066088 -2.00336e+08 3934.58 -27830.5 -2.00166e+08 15867 -2.00399e+08
1175.62 74.7034 115.016 -1.11365e+08 -1.11237e+08 -1.11019e+08 0.953117 -0.279287 -0.116473 0.296356 0.939324 0.172753 0.0611587 -0.199171 0.978054 -1.11353e+08 31345.5 27232 -1.11239e+08 -46658.5 -1.1103e+08
1225.76 74.5369 140.003 -8.72425e+07 -8.70839e+07 -8.67349e+07 0.138602 0.0511831 0.989025 -0.150854 0.988101 -0.0299945 -0.978791 -0.145041 0.144674 -8.67526e+07 48421.4 -71158.4 -8.7077e+07 -15350.6 -8.72318e+07
1275.86 74.4768 164.906 -1.51398e+08 -1.50865e+08 -1.50718e+08 -0.200432 0.924351 0.324658 0.7225 0.363271 -0.588241 -0.66168 0.116663 -0.740655 -1.50822e+08 87447.2 106519 -1.51318e+08 -172638 -1.5084e+08
1325.88 74.5347 189.895 -2.48699e+08 -2.48163e+08 -2.47946e+08 0.602725 0.549377 0.578712 -0.515781 0.821603 -0.242773 -0.608845 -0.152164 0.778559 -2.48277e+08 -157247 -290041 -2.4832e+08 -196122 -2.48211e+08
1375.79 74.5149 214.872 -2.5706e+08 -2.56854e+08 -2.56707e+08 0.0971755 0.893769 0.437874 0.607495 -0.401758 0.68523 0.788357 0.199419 -0.582001 -2.56764e+08 5160.65 -76227.7 -2.57013e+08 -97922.1 -2.56844e+08
1425.82 74.5338 239.893 -1.82539e+08 -1.81948e+08 -1.81629e+08 0.402142 0.571173 0.715572 -0.575988 0.765344 -0.287204 -0.711702 -0.296664 0.636766 -1.81882e+08 -68628.4 -314610 -1.82113e+08 -301978 -1.82121e+08
1475.99 74.5475 264.895 -2.20197e+08 -2.19677e+08 -2.18978e+08 0.78007 0.0516864 0.623554 -0.249406 0.939672 0.23412 -0.573835 -0.338148 0.745901 -2.19763e+08 114770 -552151 -2.19599e+08 -193167 -2.1949e+08
1526.08 74.535 289.863 -1.59535e+08 -1.59394e+08 -1.59391e+08 0.824942 -0.414721 0.384028 0.611667 0.559403 0.559403 -0.446823 -0.226577 0.715146 -1.5949e+08 48514.5 -44570.2 -1.59416e+08 24254.1 -1.59413e+08
1576.26 74.5586 264.729 -2.38985e+08 -2.38871e+08 -2.38802e+08 0.729431 -0.500053 -0.466774 0.279485 0.840667 -0.463861 0.624356 0.207898 0.752966 -2.38904e+08 50492.9 71159.9 -2.38896e+08 -15812.3 -2.38857e+08
